name,location,city,state,ownership,rating,nirf_rank,courses_count,exams_accepted,tuition_fees,image_url,description
Calcutta University,"Kolkata, West Bengal",Kolkata,West Bengal,Public,2.8,# 26 NIRF,18 Courses,"JEE Main, CAT, CSIR NET",₹2 K-1.60 L,,"Calcutta University is a Public University, located in Kolkata, West Bengal. Calcutta University offers 18 courses at the Bachelors, Masters, Doctorate, Postgraduate Diploma, Diploma Levels such as B.Lib.I.Sc, M.Ed, LLM, M.Lib.I.Sc, BA Hons, B.Ed, BSc Hons, BTech, MA, MBA, M.Com, M.Phil, MSc, MTech, PhD, PGD, MHRD, Advance Diploma in multiple disciplines."
Amrita Vishwa Vidyapeetham (Amrita University),"Coimbatore, Tamil Nadu",Coimbatore,Tamil Nadu,Private,3.9,N/A,10 Courses,CAT,₹90 K-16.33 L,,"Amrita Vishwa Vidyapeetham (Amrita University) is a Private University, located in Coimbatore, Tamil Nadu. Amrita Vishwa Vidyapeetham (Amrita University) offers 10 courses at the Masters, Bachelors, Doctorate, Postgraduate Diploma Levels such as MSW, BA, BSc Hons, BTech, MA, MBA, MSc, MTech, PhD, PGD in multiple disciplines."
Jamia Millia Islamia (JMI),"Delhi, Delhi NCR",Delhi,Delhi NCR,Public,3.2,# 13 NIRF,30 Courses,"JEE Main, NEET, NATA",₹1 K-9.08 L,,"Jamia Millia Islamia (JMI) is a Public University, located in Delhi NCR. Jamia Millia Islamia (JMI) offers 30 courses at the Bachelors, Masters, Doctorate, Postgraduate Diploma, Diploma Levels such as B.Arch, BBA, BDS, Bachelor of Engineering, BFA, BHM, B.Lib.I.Sc, BPT, B.Voc, M.Arch, MCA, M.Ed, MFA, LLM, MPT, BA Hons, BCom, B.Ed, BSc Hons, BTech, MA, MBA, M.Com, M.Phil, MSc, MTech, PhD, PGD, MTTM, Advance Diploma in multiple disciplines."
Jadavpur University,"Kolkata, West Bengal",Kolkata,West Bengal,Public,4.1,# 17 NIRF,22 Courses,NATA,₹5 K-2 L,,"Jadavpur University is a Public University, located in Kolkata, West Bengal. Jadavpur University offers 22 courses at the Bachelors, Masters, Doctorate, Postgraduate Diploma Levels such as B.Arch, Bachelor of Engineering, B.Lib.I.Sc, B.Pharmacy, B.P.Ed, M.Arch, MCA, ME, M.Lib.I.Sc, BA, B.Ed, BSc, BTech, MA, MBA, M.Pharm, M.Phil, MSc, MTech, PhD, PGD, Master of Bioprocessing Engineering in multiple disciplines."
Manipal Academy of Higher Education (Manipal University),"Udupi, Karnataka",Udupi,Karnataka,Private,3.1,N/A,39 Courses,"ATMA, NATA, MAHE-OET, NEET",₹1.05 L-48.36 L,,"Manipal Academy of Higher Education (Manipal University) is a Private University, located in Udupi, Karnataka. Manipal Academy of Higher Education (Manipal University) offers 39 courses at the Bachelors, Doctorate, Masters, Postgraduate Diploma, Postgraduate Certificate Levels such as B.Arch, BBA Hons, BDS, BHM, B.Optom, B.Pharmacy, Pharm.D, MHA, M.Arch, MCA, ME, M.Lib.I.Sc, MPT, MPH, MSW, MBBS, BA Hons, BCom Hons, BDes, BSc, BTech, MD, MA, MBA, Master of Chirurgiae [M.Ch], M.Com, MDS, M.Pharm, M.Phil, MSc, M.S, MTech, BASLP, Bachelor of Occupational Therapy [BOT], Post Basic Nursing, PGD, DM, M.Optom, PGC in multiple disciplines."
IIT Hyderabad,"Hyderabad, Telangana",Hyderabad,Telangana,Public,3.8,# 12 NIRF,8 Courses,"JEE Main, IIT JAM",₹15 K-9.60 L,,"IIT Hyderabad is a Public College, located in Hyderabad, Telangana. IIT Hyderabad offers 8 courses at the Masters, Bachelors, Doctorate Levels such as M.Des, BDes, BTech, MA, M.Phil, MSc, MTech, PhD in multiple disciplines."
University of Hyderabad (UOH),"Hyderabad, Telangana",Hyderabad,Telangana,Public,3.8,# 25 NIRF,15 Courses,CAT,₹5 K-3.74 L,,"University of Hyderabad (UOH) is a Public University, located in Hyderabad, Telangana. University of Hyderabad (UOH) offers 15 courses at the Masters, Bachelors, Doctorate Levels such as Executive MBA, MCA, M.Ed, MFA, MPA, MPH, BA, BSc, BTech, MA, MBA, M.Phil, MSc, MTech, PhD in multiple disciplines."
AMU,"Aligarh, Uttar Pradesh",Aligarh,Uttar Pradesh,Public,3.3,# 16 NIRF,32 Courses,"NEET, NATA",₹15 K-13.47 L,,"AMU is a Public University, located in Aligarh, Uttar Pradesh. AMU offers 32 courses at the Bachelors, Masters, Doctorate, Postgraduate Diploma Levels such as B.Arch, BDS, Bachelor of Engineering, BFA, B.Lib.I.Sc, B.P.Ed, MCA, MFC, MFA, LLM, M.Lib.I.Sc, M.P.Ed, MSW, MTM, MBBS, BA Hons, BCom, B.Ed, BSc Hons, BTech, MD, MA, MBA, Master of Chirurgiae [M.Ch], M.Com, M.Phil, MSc, MTech, MHRM, PhD, PGD, PGP in multiple disciplines."
Delhi University (DU),"Delhi, Delhi NCR",Delhi,Delhi NCR,Public,3.2,# 15 NIRF,33 Courses,"NEET PG, CUET, NEET",₹12 K-9.50 L,,"Delhi University (DU) is a Public University, located in Delhi NCR. Delhi University (DU) offers 33 courses at the Bachelors, Masters, Doctorate, Postgraduate Diploma, Diploma Levels such as BBA, BFA, BHMS, LLB, B.Lib.I.Sc, BMS, B.P.Ed, BPT, B.Voc, M.Ed, MFA, LLM, M.Lib.I.Sc, M.P.Ed, BA Hons, BCom, B.Ed, BSc Hons, BTech, MA, MBA, M.Com, M.Phil, MSc, MTech, BBS, BUMS, B.El.Ed, PhD, PGD, DM, BFIA, Advance Diploma in multiple disciplines."
UniPune (SPPU),"Pune, Maharashtra",Pune,Maharashtra,Public,3.3,# 37 NIRF,32 Courses,MAH MBA/MMS CET,₹2 K-1.78 L,,"UniPune (SPPU) is a Public University, located in Pune, Maharashtra. UniPune (SPPU) offers 32 courses at the Bachelors, Masters, Doctorate, Postgraduate Diploma, Postgraduate Certificate, Diploma Levels such as BFA, BHM, LLB, B.Pharmacy, MMS, MMM, MCA, MCM, M.Ed, MFA, MJMC, LLM, BA, BCom, B.Ed, BSc, MA, MBA, M.Com, M.Pharm, M.Phil, MSc, MTech, PhD, PGD, BOL, BSL, MCS, MOL, MPM, PGC, Advance Diploma in multiple disciplines."
Vellore Institute of Technology,"Vellore, Tamil Nadu",Vellore,Tamil Nadu,,4.2,N/A,4 Courses,None,₹5.25 L-14.25 L,,"Vellore Institute of Technology is a , located in Vellore, Tamil Nadu. Vellore Institute of Technology offers 4 courses at the Bachelors, Masters Levels such as B.Arch, BDes, BTech, MTech in multiple disciplines."
Bharathiar University,"Coimbatore, Tamil Nadu",Coimbatore,Tamil Nadu,Public,3.2,# 44 NIRF,15 Courses,"CSIR NET, TANCET",₹6 K-73 K,,"Bharathiar University is a Public University, located in Coimbatore, Tamil Nadu. Bharathiar University offers 15 courses at the Bachelors, Masters, Doctorate, Postgraduate Diploma Levels such as B.P.Ed, B.Voc, MCA, M.Ed, MJMC, M.Lib.I.Sc, M.P.Ed, MSW, MA, MBA, M.Com, M.Phil, MSc, PhD, PGD in multiple disciplines."
NIT Trichy,"Tiruchirappalli, Tamil Nadu",Tiruchirappalli,Tamil Nadu,Public,3.4,# 31 NIRF,8 Courses,"JEE Main, GATE, UGC NET, TANCET",₹30 K-6.25 L,,"NIT Trichy is a Public College, located in Tiruchirappalli, Tamil Nadu. NIT Trichy offers 8 courses at the Bachelors, Masters, Doctorate Levels such as B.Arch, M.Arch, MCA, BTech, MA, MSc, MTech, PhD in multiple disciplines."
IISER Pune,"Pune, Maharashtra",Pune,Maharashtra,Public,4.0,# 42 NIRF,3 Courses,None,₹1.26 L,,"IISER Pune is a Public College, located in Pune, Maharashtra. IISER Pune offers 3 courses at the Bachelors, Masters, Doctorate Levels such as BSc, MSc, PhD in multiple disciplines."
Anna University,"Chennai, Tamil Nadu",Chennai,Tamil Nadu,Public,3.2,# 20 NIRF,13 Courses,"GATE, TANCET, NATA",₹51 K-4.35 L,,"Anna University is a Public University, located in Chennai, Tamil Nadu. Anna University offers 13 courses at the Bachelors, Masters, Doctorate Levels such as B.Arch, Bachelor of Engineering, M.Arch, MCA, ME, M.Plan, BSc, BTech, MBA, M.Phil, MSc, MTech, PhD in multiple disciplines."
IIT (ISM) Dhanbad,"Dhanbad, Jharkhand",Dhanbad,Jharkhand,Public,3.9,# 35 NIRF,5 Courses,None,₹77 K-8.82 L,,"IIT (ISM) Dhanbad is a Public College, located in Dhanbad, Jharkhand. IIT (ISM) Dhanbad offers 5 courses at the Bachelors, Masters, Doctorate Levels such as BTech, MBA, MSc, MTech, PhD in multiple disciplines."
ICT Mumbai,"Mumbai, Maharashtra",Mumbai,Maharashtra,Public,3.8,# 56 NIRF,8 Courses,MHT CET,₹1 L-3.33 L,,"ICT Mumbai is a Public College, located in Mumbai, Maharashtra. ICT Mumbai offers 8 courses at the Bachelors, Masters, Doctorate, Postgraduate Diploma Levels such as B.Pharmacy, ME, BTech, M.Pharm, MSc, MTech, PhD, PGD in multiple disciplines."
DTU,"Delhi, Delhi NCR",Delhi,Delhi NCR,Public,4.0,# 66 NIRF,9 Courses,"GATE, CAT, JEE Main",₹29 K-5.33 L,https://media.getmyuni.com/azure/college-image/small/delhi-technological-university-dtu-new-delhi.jpg,"DTU is a Public University, located in Delhi NCR. DTU offers 9 courses at the Bachelors, Masters, Doctorate Levels such as BBA, Executive MBA, BA, BDes, BTech, MBA, MSc, MTech, PhD in multiple disciplines."
JSS Academy of Higher Education and Research,"Mysore, Karnataka",Mysore,Karnataka,Private,4.2,# 36 NIRF,18 Courses,"KCET, NEET",₹1.23 L-73.59 L,https://media.getmyuni.com/azure/college-image/small/jagadguru-sri-shivarathreeswara-university-jssu-mysore.jpg,"JSS Academy of Higher Education and Research is a Private University, located in Mysore, Karnataka. JSS Academy of Higher Education and Research offers 18 courses at the Bachelors, Doctorate, Masters, Postgraduate Diploma Levels such as BBA, BDS, B.Pharmacy, Pharm.D, MPH, MBBS, BSc, MD, MBA, Master of Chirurgiae [M.Ch], MDS, M.Pharm, M.Phil, MSc, M.S, Bachelor of Occupational Therapy [BOT], PhD, PGD in multiple disciplines."
Alagappa University,"Karaikudi, Tamil Nadu",Karaikudi,Tamil Nadu,Public,4.1,# 76 NIRF,26 Courses,None,₹4 K-32 K,https://media.getmyuni.com/azure/college-image/small/alagappa-university-au-karaikudi.jpg,"Alagappa University is a Public University, located in Karaikudi, Tamil Nadu. Alagappa University offers 26 courses at the Bachelors, Masters, Doctorate, Postgraduate Diploma Levels such as BBA, BCA, BFA, B.Lib.I.Sc, B.P.Ed, B.Voc, MCA, M.Ed, MFA, M.Lib.I.Sc, M.P.Ed, MSW, BA, BCom, B.Ed, BSc, MA, MBA, M.Com, M.Phil, MSc, MTech, M.Voc, PhD, PGD, BLit in multiple disciplines."
IIT Bhubaneswar,"Bhubaneswar, Odisha",Bhubaneswar,Odisha,Public,3.8,N/A,4 Courses,OJEE,₹90 K-7.91 L,https://media.getmyuni.com/azure/college-image/small/indian-institute-of-technology-iit-bhubaneswar.jpg,"IIT Bhubaneswar is a Public College, located in Bhubaneswar, Odisha. IIT Bhubaneswar offers 4 courses at the Bachelors, Masters, Doctorate Levels such as BTech, MSc, MTech, PhD in multiple disciplines."
NIT Warangal,"Warangal, Telangana",Warangal,Telangana,Public,4,# 53 NIRF,6 Courses,"CAT, JEE Main, IIT JAM",₹30 K-5 L,https://media.getmyuni.com/azure/college-image/small/national-institute-of-technology-nit-warangal.jpg,"NIT Warangal is a Public College, located in Warangal, Telangana. NIT Warangal offers 6 courses at the Masters, Bachelors, Doctorate Levels such as MCA, BTech, MBA, MSc, MTech, PhD in multiple disciplines."
KGMU,"Lucknow, Uttar Pradesh",Lucknow,Uttar Pradesh,Public,4.1,# 88 NIRF,9 Courses,NEET,₹72 K-1.17 L,https://media.getmyuni.com/azure/college-image/small/king-george-s-medical-university-kgmu-lucknow.jpg,"KGMU is a Public College, located in Lucknow, Uttar Pradesh. KGMU offers 9 courses at the Bachelors, Masters, Doctorate, Postgraduate Diploma Levels such as BDS, MHA, MBBS, MD, Master of Chirurgiae [M.Ch], M.S, PhD, PGD, DM in multiple disciplines."
Sathyabama University,"Chennai, Tamil Nadu",Chennai,Tamil Nadu,Private,3.5,N/A,17 Courses,"SAEEE, NEET",₹68 K-22.50 L,,"Sathyabama University is a Private College, located in Chennai, Tamil Nadu. Sathyabama University offers 17 courses at the Bachelors, Masters, Doctorate Levels such as B.Arch, BBA, BDS, Bachelor of Engineering, M.Arch, ME, BA, BCom, BDes, BSc, BTech, MA, MBA, M.Phil, MSc, MTech, PhD in multiple disciplines."
Osmania University,"Hyderabad, Telangana",Hyderabad,Telangana,Public/Government,3.5,# 70 NIRF,38 Courses,"GATE, TS EAMCET",₹2 K-3.45 L,,"Osmania University is a Public/Government University, located in Hyderabad, Telangana. Osmania University offers 38 courses at the Bachelors, Masters, Doctorate, Postgraduate Diploma, Diploma Levels such as BBA, BCA, Bachelor of Engineering, BFA, BHM, LLB, B.Lib.I.Sc, B.Pharmacy, B.P.Ed, BSW, MMS, MCA, M.Ed, ME, MFC, LLM, M.Lib.I.Sc, M.P.Ed, MSW, BA, BCom, B.Ed, BSc Hons, BTech, MA, MBA, M.Com, M.Pharm, M.Phil, MSc, MTech, PhD, PGD, Masters in Hospital Management, BCJ, MPM, MCJ, Advance Diploma in multiple disciplines."
Gujarat University,"Ahmedabad, Gujarat",Ahmedabad,Gujarat,Public,3.5,# 94 NIRF,37 Courses,"SET, CMAT, UGC NET, ICMR JRF, GATE, CAT",₹2 K-20.60 L,,"Gujarat University is a Public University, located in Ahmedabad, Gujarat. Gujarat University offers 37 courses at the Bachelors, Masters, Doctorate, Postgraduate Diploma, Postgraduate Certificate Levels such as B.Arch, BBA, BCA, BDS, BJMC, LLB, B.Lib.I.Sc, B.P.Ed, BPT, M.Des, M.Ed, MJMC, LLM, M.Lib.I.Sc, MPA, M.P.Ed, MPT, MSW, MBBS, BA, BCom, BDes, B.Ed, BSc Hons, MD, MA, MBA, M.Com, M.Phil, MSc, MTech, PhD, PGD, Bachelor of Performing Arts, Bachelor of Animation, MLL & LW), PGC in multiple disciplines."
Hamdard University,"Delhi, Delhi NCR",Delhi,Delhi NCR,Public,3.4,# 62 NIRF,23 Courses,NEET,₹30 K-33.61 L,,"Hamdard University is a Public College, located in Delhi NCR. Hamdard University offers 23 courses at the Bachelors, Masters, Doctorate Levels such as BBA, BCA, B.Pharmacy, BPT, MCA, MPT, MBBS, BA Hons, BCom, BSc Hons, BTech, MD, MA, MBA, M.Pharm, M.Phil, MSc, MTech, Bachelor of Occupational Therapy [BOT], BUMS, Post Basic Nursing, PhD, MOT in multiple disciplines."
CUSAT,"Kochi, Kerala",Kochi,Kerala,Public,3.8,# 51 NIRF,18 Courses,"CAT, CLAT, KEAM",₹7 K-2.16 L,,"CUSAT is a Public University, located in Kochi, Kerala. CUSAT offers 18 courses at the Bachelors, Masters, Doctorate, Postgraduate Diploma Levels such as BBA Hons, LLB, B.Voc, MCA, M.F.Sc, LLM, BCom, BSc, BTech, MA, MBA, M.Phil, MSc, MTech, M.Voc, PhD, PGD, LLM IPR in multiple disciplines."
Banasthali Vidyapith,"Lucknow, Uttar Pradesh",Lucknow,Uttar Pradesh,Private,3,N/A,22 Courses,None,₹48 K-4.36 L,,"Banasthali Vidyapith is a Private College, located in Lucknow, Uttar Pradesh. Banasthali Vidyapith offers 22 courses at the Bachelors, Masters, Doctorate Levels such as BBA, BCA, B.Pharmacy, MCA, M.Des, M.Ed, LLM, MSW, BA, BCom, BDes, B.Ed, BSc, BTech, MA, MBA, M.Com, M.Pharm, M.Phil, MSc, MTech, PhD in multiple disciplines."
Gauhati University,"Guwahati, Assam",Guwahati,Assam,Public,3.1,# 57 NIRF,16 Courses,None,₹3 K-81 K,,"Gauhati University is a Public University, located in Guwahati, Assam. Gauhati University offers 16 courses at the Bachelors, Masters, Doctorate, Postgraduate Diploma, Postgraduate Certificate Levels such as LLB, M.Ed, LLM, M.Lib.I.Sc, BA, BTech, MA, MBA, M.Com, M.Phil, MSc, MTech, PhD, PGD, MBE, PGC in multiple disciplines."
SIU Pune,"Pune, Maharashtra",Pune,Maharashtra,Private,4.0,# 52 NIRF,19 Courses,None,₹1.32 L-13 L,,"SIU Pune is a Private University, located in Pune, Maharashtra. SIU Pune offers 19 courses at the Bachelors, Masters, Doctorate, Postgraduate Diploma, Certificate, Diploma Levels such as BBA, BCA, BFA, LLB, LLM, BA, BDes, BSc Hons, BTech, MA, MBA, MSc, MTech, Post Basic Nursing, PhD, PGD, PGP, Advance Certificate, Advance Diploma in multiple disciplines."
KL University,"Guntur, Andhra Pradesh",Guntur,Andhra Pradesh,Private,3.5,N/A,23 Courses,"GATE, AP EAMCET, NATA",₹1.40 L-15.60 L,,"KL University is a Private College, located in Guntur, Andhra Pradesh. KL University offers 23 courses at the Bachelors, Doctorate, Masters, Postgraduate Diploma Levels such as B.Arch, BBA, BCA, BFA, LLB, B.Pharmacy, Pharm.D, MCA, LLM, BA, BCom, BDes, BSc, BTech, MA, MBA, M.Com, M.Pharm, MSc, MTech, PhD, PGP, MFM in multiple disciplines."
TISS Mumbai,"Mumbai, Maharashtra",Mumbai,Maharashtra,Private,3.5,# 98 NIRF,13 Courses,None,₹29 K-12.30 L,,"TISS Mumbai is a Private College, located in Mumbai, Maharashtra. TISS Mumbai offers 13 courses at the Bachelors, Masters, Doctorate, Postgraduate Diploma Levels such as BMS, MHA, M.Arch, LLM, M.Lib.I.Sc, MPH, BA Hons, MA, M.Phil, MSc, PhD, PGD, MIM in multiple disciplines."
NIT Durgapur,"Durgapur, West Bengal",Durgapur,West Bengal,Public,3.7,# 93 NIRF,7 Courses,"GATE, JEE Main",₹30 K-5 L,,"NIT Durgapur is a Public College, located in Durgapur, West Bengal. NIT Durgapur offers 7 courses at the Masters, Bachelors, Doctorate Levels such as MSW, BSc Hons, BTech, MBA, MSc, MTech, PhD in multiple disciplines."
MNIT Jaipur,"Jaipur, Rajasthan",Jaipur,Rajasthan,Public,3.8,# 82 NIRF,7 Courses,JEE Main,₹30 K-5 L,,"MNIT Jaipur is a Public College, located in Jaipur, Rajasthan. MNIT Jaipur offers 7 courses at the Bachelors, Masters, Doctorate Levels such as B.Arch, M.Plan, BTech, MBA, MSc, MTech, PhD in multiple disciplines."
Tezpur University,"Tezpur, Assam",Tezpur,Assam,Public,3.8,N/A,16 Courses,"ATMA, JEE Main",₹31 K-1.77 L,,"Tezpur University is a Public College, located in Tezpur, Assam. Tezpur University offers 16 courses at the Masters, Bachelors, Doctorate, Postgraduate Diploma Levels such as MCA, M.Des, LLM, BA, BCom, B.Ed, BSc, BTech, MA, MBA, M.Com, MSc, MTech, PhD, PGD, MTTM in multiple disciplines."
Kalasalingam University,"Krishnakoil, Tamil Nadu",Krishnakoil,Tamil Nadu,Private,2.6,# 50 NIRF,15 Courses,"GATE, NATA, JEE Main",₹45 K-6 L,,"Kalasalingam University is a Private College, located in Krishnakoil, Tamil Nadu. Kalasalingam University offers 15 courses at the Bachelors, Masters, Doctorate Levels such as B.Arch, BBA, BCA, MCA, MSW, BA, BCom, B.Ed, BSc Hons, BTech, MA, MBA, MSc, MTech, PhD in multiple disciplines."
Bharath University,"Chennai, Tamil Nadu",Chennai,Tamil Nadu,Private,3.2,# 91 NIRF,14 Courses,"CAT, NATA",₹40 K-8.75 L,,"Bharath University is a Private University, located in Chennai, Tamil Nadu. Bharath University offers 14 courses at the Bachelors, Masters Levels such as B.Arch, BBA, BCA, B.Pharmacy, M.Arch, BA, BCom, BSc, BTech, MA, MBA, M.Phil, MSc, MTech in multiple disciplines."
Kashmir University,"Srinagar, Jammu And Kashmir",Srinagar,Jammu And Kashmir,Public,3,# 69 NIRF,22 Courses,"CUET, JEE Main",₹5 K-1.12 L,,"Kashmir University is a Public University, located in Srinagar, Jammu And Kashmir. Kashmir University offers 22 courses at the Bachelors, Masters, Doctorate, Postgraduate Diploma Levels such as BCA, BDS, LLB, B.Pharmacy, M.Ed, MFC, LLM, M.P.Ed, MSW, BA, B.Ed, BTech, MA, MBA, M.Com, MDS, M.Pharm, M.Phil, MSc, PhD, PGD, MTTM in multiple disciplines."
Chandigarh University,"Mohali, Punjab",Mohali,Punjab,Private,4.4,N/A,31 Courses,"CAT, NATA, JEE Main",₹1.60 L-16.62 L,,"Chandigarh University is a Private University, located in Mohali, Punjab. Chandigarh University offers 31 courses at the Bachelors, Doctorate, Masters, Postgraduate Diploma Levels such as B.Arch, BBA Hons, BCA Hons, Bachelor of Engineering Hons, BFA, LLB, B.Optom, B.Pharmacy, B.P.Ed, BPT, Pharm.D, M.Arch, MCA, ME, MFA, LLM, M.P.Ed, MPT, BA Hons, BCom Hons, BDes, BSc Hons, MA, MBA, M.Com, M.Pharm, MSc, PhD, PGD, BPES, M.Optom in multiple disciplines."
NIT Jalandhar,"Jalandhar, Punjab",Jalandhar,Punjab,Public,3.6,N/A,6 Courses,JEE Main,₹23 K-5.16 L,,"NIT Jalandhar is a Public College, located in Jalandhar, Punjab. NIT Jalandhar offers 6 courses at the Bachelors, Masters, Doctorate, Postgraduate Diploma Levels such as BTech, MBA, MSc, MTech, PhD, PGD in multiple disciplines."
"Sri Ramachandra University / Sri Ramachandra Medical College and Research Institute, Chennai","Chennai, Tamil Nadu",Chennai,Tamil Nadu,Private,4.3,# 96 NIRF,24 Courses,"NEET MDS, NEET",₹75 K-1.10 Cr,,"Sri Ramachandra University / Sri Ramachandra Medical College and Research Institute, Chennai is a Private College, located in Chennai, Tamil Nadu. Sri Ramachandra University / Sri Ramachandra Medical College and Research Institute, Chennai offers 24 courses at the Bachelors, Doctorate, Masters Levels such as BBA, BDS, B.Optom, B.Pharmacy, BPT, Pharm.D, MPT, MPH, MBBS, BSc Hons, MD, MBA, Master of Chirurgiae [M.Ch], MDS, M.Pharm, M.Phil, MSc, M.S, BASLP, Bachelor of Occupational Therapy [BOT], Post Basic Nursing, PhD, DM, M.Optom in multiple disciplines."
"Dr. D.Y. Patil Vidyapeeth, Pune","Pune, Maharashtra",Pune,Maharashtra,Public,2.6,# 63 NIRF,14 Courses,"CAT, NEET",-/-,,"Dr. D.Y. Patil Vidyapeeth, Pune is a Public College, located in Pune, Maharashtra. Dr. D.Y. Patil Vidyapeeth, Pune offers 14 courses at the Bachelors, Masters, Doctorate Levels such as BDS, B.Optom, BPT, MPT, MBBS, BSc, BTech, MD, MBA, Master of Chirurgiae [M.Ch], MDS, MSc, M.S, PhD in multiple disciplines."
